locus_tag,possible.G.to.A,possible.G.to.T,possible.G.to.C,possible.A.to.G,possible.A.to.T,possible.A.to.C,possible.T.to.G,possible.T.to.A,possible.T.to.C,possible.C.to.G,possible.C.to.A,possible.C.to.T,gene.length,gene
ECB_00029,88,67,67,62,24,25,41,44,94,43,52,96,942,ribF
ECB_00030,239,172,172,138,46,46,117,127,205,143,180,374,2817,ileS
ECB_00031,42,37,37,17,7,7,15,22,42,26,33,73,495,lspA
ECB_00032,40,29,29,23,9,9,14,19,38,27,30,58,450,fkpB
ECB_00033,95,69,69,49,13,13,34,46,79,50,58,107,951,ispH
ECB_00034,69,52,52,49,24,24,35,43,87,61,71,116,915,rihC
ECB_00035,61,43,43,42,17,19,36,44,92,48,57,86,822,dapB
ECB_00036,94,69,69,60,20,21,49,59,111,60,74,141,1149,carA
ECB_00037,302,235,235,163,39,39,125,158,225,179,217,424,3222,carB
ECB_00038,32,17,17,30,11,13,14,19,37,12,20,31,396,caiF
ECB_00039,55,34,34,24,10,11,15,25,62,35,42,62,591,caiE
ECB_00040,70,56,56,68,27,29,26,36,77,46,53,97,894,caiD
ECB_00041,126,93,93,91,30,33,38,58,143,77,100,176,1569,caiC
ECB_00042,29,20,20,23,4,4,13,16,33,30,37,59,420,caiB
ECB_00043,88,61,61,54,15,16,40,47,87,60,72,154,1143,caiA
ECB_00044,108,89,89,64,29,31,48,66,117,87,112,217,1515,caiT
ECB_00045,62,39,39,53,18,18,30,44,74,43,49,80,771,fixA
ECB_00046,83,62,62,44,15,15,39,47,73,53,64,122,942,fixB
ECB_00047,113,81,81,68,23,23,44,53,108,81,95,154,1287,fixC
ECB_00048,33,22,22,9,2,2,7,9,22,18,18,39,288,fixX
ECB_00049,119,91,91,54,27,29,36,53,122,80,108,160,1332,yaaU
ECB_00050,51,36,36,19,6,7,14,21,49,26,31,58,531,yabF
ECB_00051,215,168,168,98,37,38,46,71,154,92,114,200,1863,kefC
ECB_00052,37,29,29,30,10,10,10,15,40,21,30,53,480,folA
ECB_00053,80,63,63,48,18,19,26,28,70,39,47,102,843,apaH
ECB_00054,22,12,12,24,13,13,15,20,34,25,34,47,378,apaG
ECB_00055,76,54,54,44,17,17,25,29,68,39,51,99,822,ksgA
ECB_00056,95,75,75,45,17,17,45,58,97,61,70,110,990,pdxA
ECB_00057,110,68,68,63,18,19,53,64,102,61,82,167,1287,surA
ECB_00058,161,102,102,100,38,40,99,114,223,115,137,306,2355,imp
ECB_00059,82,47,47,40,11,11,27,34,81,39,47,72,816,djlA
ECB_00060,80,56,56,40,15,17,15,22,60,22,24,48,660,rluA
ECB_00061,263,182,182,144,46,46,123,147,252,128,155,379,2907,hepA
ECB_00062,217,153,153,122,46,46,70,85,187,132,169,288,2352,polB
ECB_00063,49,33,33,42,16,16,16,20,46,52,61,97,696,araD
ECB_00064,128,94,94,59,15,15,51,62,118,88,103,208,1503,araA
ECB_00065,139,101,101,85,35,35,64,84,140,103,117,213,1701,araB
ECB_00066,81,56,56,43,19,19,26,34,88,35,48,91,879,araC
ECB_00067,93,73,73,33,15,15,19,31,73,30,36,79,765,yabI
ECB_00068,90,61,61,33,13,13,20,23,57,29,40,73,699,yabJ
ECB_00069,186,147,147,64,32,33,37,55,123,95,112,213,1611,thiP
ECB_00070,80,62,62,64,16,16,30,33,75,58,61,130,984,tbpA
ECB_00071,150,106,106,87,33,34,45,55,123,75,103,213,1656,yabN
ECB_00072,98,75,75,69,48,49,53,69,140,32,49,89,1179,setA
ECB_00073,55,40,40,33,10,10,13,17,52,25,32,74,606,leuD
ECB_00074,99,80,80,91,27,27,42,55,102,101,115,188,1401,leuC
ECB_00075,88,69,69,67,26,26,28,40,85,64,80,148,1092,leuB
ECB_00076,110,74,74,88,25,25,51,68,127,100,122,217,1572,leuA
ECB_00077,3,1,1,9,6,7,6,6,9,3,7,13,87,leuL
ECB_00078,66,38,38,76,29,30,41,51,117,28,29,66,945,leuO
ECB_00079,165,111,111,89,40,41,65,82,169,83,99,159,1725,ilvI
ECB_00080,40,26,26,34,13,13,21,27,50,28,34,45,492,ilvH
ECB_00081,94,69,69,52,15,15,51,61,101,44,53,109,1005,fruR
ECB_00082,44,26,26,37,15,15,16,19,38,15,23,49,459,yabB
ECB_00083,79,51,51,50,19,20,47,55,87,54,68,105,942,mraW
ECB_00084,34,23,23,30,11,13,13,17,32,10,18,36,366,ftsL
ECB_00085,152,119,119,96,32,34,75,97,164,98,114,197,1767,ftsI
ECB_00086,141,111,111,81,40,40,55,65,136,71,81,157,1488,murE
ECB_00087,110,88,88,80,35,35,62,74,122,75,86,167,1359,murF
ECB_00088,104,89,89,43,22,22,37,54,95,60,68,140,1083,mraY
ECB_00089,122,97,97,72,27,27,50,60,128,68,74,151,1317,murD
ECB_00090,127,105,105,62,28,28,42,57,107,53,73,146,1245,ftsW
ECB_00091,100,79,79,77,35,35,51,61,99,43,55,85,1068,murG
ECB_00092,137,105,105,76,32,32,65,85,155,60,72,147,1476,murC
ECB_00093,85,58,58,77,37,38,35,42,86,32,37,79,921,ddl
ECB_00094,94,56,56,47,18,20,28,33,74,32,43,70,831,ftsQ
ECB_00095,118,81,81,86,40,41,55,65,121,47,67,112,1263,ftsA
ECB_00096,95,68,68,63,28,28,76,81,116,48,65,122,1152,ftsZ
ECB_00097,65,44,44,42,14,15,42,47,98,46,61,115,918,lpxC
ECB_00098,38,28,28,37,16,16,22,24,50,29,32,53,513,yacA
ECB_00099,222,155,155,174,45,45,134,158,222,104,136,319,2706,secA
ECB_00100,36,26,26,30,9,10,12,18,34,13,14,27,390,mutT
ECB_00101,13,9,9,17,6,6,6,7,14,6,11,19,198,yacG
ECB_00102,62,36,36,45,15,15,27,39,80,37,42,85,744,yacF
ECB_00103,52,31,31,39,21,22,24,33,65,33,40,60,621,coaE
ECB_00104,66,48,48,60,19,19,61,71,111,59,70,116,1044,guaC
ECB_00105,118,85,85,90,45,47,25,34,95,47,67,123,1203,hofC
ECB_00106,118,72,72,103,54,56,53,64,135,71,87,145,1386,hofB
ECB_00107,22,16,16,26,11,11,12,19,39,35,37,64,441,ppdD
ECB_00108,60,46,46,67,26,26,26,31,73,67,77,117,894,nadC
ECB_00109,48,32,32,25,15,15,22,29,67,25,31,49,552,ampD
ECB_00110,96,69,69,42,22,22,38,49,104,29,33,67,855,ampE
ECB_00111,118,96,96,68,38,38,52,66,107,63,84,179,1374,aroP
ECB_00112,71,35,35,42,14,16,24,29,62,52,59,97,765,pdhR
ECB_00113,202,137,137,129,31,31,162,173,225,99,145,360,2664,aceE
ECB_00114,160,120,120,129,40,40,116,126,148,79,114,204,1893,aceF
ECB_00115,95,75,75,95,26,26,86,95,112,64,94,191,1425,lpdA
ECB_00116,144,78,78,138,81,88,70,80,154,87,103,185,1854,yacH
ECB_00117,235,188,188,138,47,47,125,142,204,127,157,341,2598,acnB
ECB_00118,34,24,24,27,6,6,8,9,23,13,15,37,363,yacL
ECB_00119,49,30,30,39,8,8,24,38,86,41,51,100,795,speD
ECB_00120,52,33,33,47,21,21,28,33,83,47,61,116,867,speE
ECB_00121,16,10,10,21,4,5,9,12,29,25,25,55,348,yacC
ECB_00122,157,118,118,73,26,26,47,58,139,66,78,158,1551,cueO
ECB_00123,200,168,168,117,52,52,98,120,206,126,148,282,2391,gcd
ECB_00124,49,38,38,27,6,6,23,29,51,19,29,62,537,hpt
ECB_00125,39,27,27,44,16,16,22,30,55,38,43,91,663,yadF
ECB_00126,82,54,54,67,22,22,30,41,83,44,52,93,927,yadG
ECB_00127,76,62,62,27,17,17,29,38,78,31,45,89,771,yadH
ECB_00128,31,21,21,30,8,8,18,22,49,17,20,38,441,yadI
ECB_00129,109,79,79,72,34,37,31,42,129,54,70,118,1230,yadE
ECB_00130,18,13,13,18,5,6,16,24,37,28,33,50,381,panD
ECB_00131,88,55,55,58,22,25,25,35,88,24,33,74,903,yadD
ECB_00132,67,49,49,45,8,8,36,51,81,51,58,111,852,panC
ECB_00133,52,38,38,55,22,22,35,43,70,50,56,98,795,panB
ECB_00134,45,26,26,124,74,81,84,93,198,30,34,80,1347,yadC
ECB_00135,25,14,14,45,29,33,31,38,79,25,28,48,597,yadK
ECB_00136,20,14,14,61,35,35,30,34,70,30,35,54,603,yadL
ECB_00137,34,23,23,46,34,35,28,31,67,13,20,38,570,yadM
ECB_00138,107,65,65,165,81,83,143,179,382,95,117,219,2601,htrE
ECB_00139,36,25,25,64,33,34,31,40,91,31,33,62,741,ecpD
ECB_00140,19,16,16,37,15,15,55,59,88,19,24,58,585,yadN
ECB_00141,40,30,30,32,13,14,18,21,47,24,26,48,480,folK
ECB_00142,124,81,81,70,27,28,58,64,106,70,87,180,1365,pcnB
ECB_00143,72,47,47,55,29,29,37,49,94,42,54,99,927,yadB
ECB_00144,36,22,22,37,8,9,15,20,32,21,25,52,456,dksA
ECB_00145,55,35,35,59,25,27,30,38,68,24,32,63,705,sfsA
ECB_00146,43,31,31,34,14,14,26,29,53,27,33,54,531,ligT
ECB_00147,266,199,199,167,55,57,76,90,212,104,133,234,2430,hrpB
ECB_00148,261,177,177,125,51,52,106,123,227,98,120,258,2526,mrcB
ECB_00149,167,119,119,112,44,44,126,136,241,105,114,246,2244,fhuA
ECB_00150,82,64,64,31,8,8,43,51,92,38,46,75,798,fhuC
ECB_00151,79,65,65,51,24,24,28,33,78,40,49,97,891,fhuD
ECB_00152,266,227,227,70,40,41,52,78,158,93,123,223,1983,fhuB
ECB_00153,104,83,83,65,31,31,53,61,116,71,84,154,1281,hemL
ECB_00154,142,115,115,69,32,33,62,92,154,69,80,136,1422,yadQ
ECB_00155,21,17,17,18,4,4,16,16,34,18,23,49,345,yadR
ECB_00156,47,39,39,31,19,20,25,34,64,43,51,73,624,yadS
ECB_00157,66,46,46,56,20,21,29,42,70,42,49,79,801,yadT
ECB_00158,47,34,34,43,17,17,38,44,67,35,47,92,699,pfs
ECB_00159,111,70,70,114,42,43,56,70,172,55,75,134,1518,dgt
ECB_00160,133,91,91,67,26,26,69,81,118,65,83,180,1425,degP
ECB_00161,125,87,87,67,30,31,42,53,119,39,63,101,1158,cdaR
ECB_00162,27,12,12,25,4,4,17,22,41,13,21,44,387,yaeH
ECB_00163,50,36,36,59,25,28,30,35,85,47,52,95,813,yaeI
ECB_00164,59,42,42,48,17,17,40,52,72,47,57,102,825,dapD
ECB_00165,209,140,140,165,62,62,71,95,242,160,195,336,2673,glnD
ECB_00166,50,38,38,50,15,15,26,34,63,46,64,107,795,map
ECB_00167,48,32,32,38,10,10,58,61,68,20,31,96,726,rpsB
ECB_00168,54,30,30,70,22,22,62,67,72,27,41,95,852,tsf
ECB_00169,56,47,47,44,15,15,40,47,67,31,36,87,726,pyrH
ECB_00170,46,38,38,46,16,17,29,33,47,13,20,56,558,frr
ECB_00171,102,74,74,77,29,30,46,57,116,54,59,115,1197,ispC
ECB_00172,55,35,35,52,22,24,30,40,88,33,38,65,762,uppS
ECB_00173,73,51,51,50,32,33,35,46,96,38,47,85,858,cdsA
ECB_00174,120,86,86,81,39,41,62,80,151,54,77,117,1353,yaeL
ECB_00175,166,110,110,102,32,32,132,147,256,117,132,298,2433,yaeT
ECB_00176,38,18,18,34,9,9,32,33,46,19,23,52,486,hlpA
ECB_00177,75,51,51,51,28,28,40,60,92,55,71,125,1026,lpxD
ECB_00178,38,28,28,32,12,12,24,30,46,16,18,46,456,fabZ
ECB_00179,56,42,42,38,16,16,32,49,80,48,57,97,789,lpxA
ECB_00180,106,75,75,73,25,27,44,50,108,56,67,121,1149,lpxB
ECB_00181,60,52,52,33,7,7,20,26,54,30,36,62,597,rnhB
ECB_00182,332,236,236,182,60,64,123,136,261,155,218,430,3483,dnaE
ECB_00183,71,58,58,64,18,18,54,63,102,34,50,99,960,accA
ECB_00184,194,139,139,111,37,39,56,77,199,95,131,220,2142,ldcC
ECB_00185,38,30,30,19,3,3,14,19,41,10,13,40,390,yaeR
ECB_00186,142,107,107,81,32,33,40,51,111,64,74,125,1299,tilS
ECB_00187,21,11,11,15,4,4,6,7,27,14,16,28,255,rof
ECB_00188,17,11,11,16,6,7,7,7,17,7,9,22,201,yaeP
ECB_00189,58,40,40,26,6,6,14,19,54,24,29,52,546,yaeQ
ECB_00190,41,27,27,31,13,14,10,19,35,26,35,44,423,yaeJ
ECB_00191,63,49,49,51,21,21,27,28,67,26,32,59,711,cutF
ECB_00192,57,38,38,54,27,27,29,34,82,46,54,85,825,yaeF
ECB_00193,154,110,110,84,21,21,89,101,138,73,97,219,1719,proS
ECB_00194,57,41,41,38,13,14,31,34,66,43,45,80,708,yaeB
ECB_00195,26,19,19,32,12,13,17,20,36,24,29,43,405,rcsF
ECB_00196,63,43,43,66,27,27,36,42,70,32,40,98,816,metQ
ECB_00197,58,44,44,30,18,18,36,52,74,35,43,69,654,metI
ECB_00198,103,67,67,50,22,22,43,54,93,46,56,124,1032,metN
ECB_00199,48,34,34,38,17,17,19,25,59,19,23,48,573,gmhB
ECB_00200,52,35,35,61,18,18,55,66,99,18,30,68,804,dkgB
ECB_00201,74,50,50,75,32,35,28,37,88,39,54,84,915,yafC
ECB_00202,70,48,48,50,23,26,33,37,85,37,45,76,801,yafD
ECB_00203,44,32,32,50,25,29,23,28,65,23,32,56,624,yafE
ECB_00204,117,74,74,84,48,48,56,67,121,53,63,136,1359,mltD
ECB_00205,41,18,18,73,36,39,24,35,104,20,25,48,756,gloB
ECB_00206,54,36,36,51,20,21,34,42,89,28,37,58,723,yafS
ECB_00207,22,13,13,39,11,11,16,20,42,31,34,53,468,rnhA
ECB_00208,57,31,31,42,20,21,25,33,75,38,47,72,732,dnaQ
ECB_00209,52,25,25,66,28,31,38,44,89,23,27,56,786,yafT
ECB_00210,12,9,9,16,6,6,17,20,29,18,22,35,276,insA-2
ECB_00211,60,45,45,25,14,16,10,11,30,18,27,55,504,insB-2
ECB_00212,17,9,9,45,20,20,14,21,55,3,5,11,372,ECB_00212
ECB_00213,67,34,34,104,50,60,33,52,123,25,44,85,1137,yhhI
ECB_00214,79,51,51,34,20,22,26,35,83,31,36,69,771,yafV
ECB_00215,45,30,30,28,13,14,13,16,42,21,23,39,474,ykfE
ECB_00216,258,197,197,101,28,28,72,108,191,138,160,310,2445,fadE
ECB_00217,40,28,28,28,6,6,24,36,58,31,39,74,579,lpcA
ECB_00218,64,50,50,41,15,15,20,24,63,46,53,89,768,yafJ
ECB_00219,63,33,33,38,11,11,22,27,65,34,42,87,741,yafK
ECB_00220,16,10,10,27,9,11,15,18,38,3,6,14,279,yafQ
ECB_00221,17,11,11,21,7,7,10,13,31,13,16,25,261,dinJ
ECB_00222,74,44,44,37,14,17,14,22,68,37,49,84,750,yafL
ECB_00223,26,11,11,32,17,19,16,21,63,20,30,38,498,yafM
ECB_00224,223,161,161,43,13,14,27,46,110,95,123,229,1710,fhiA
ECB_00225,93,66,66,36,8,8,16,28,57,33,40,80,771,mbhA
ECB_00226,93,69,69,65,19,20,28,38,89,63,82,120,1056,dinB
ECB_00227,13,6,6,29,10,11,14,18,39,9,11,17,294,yafN
ECB_00228,27,15,15,33,16,17,14,20,52,9,13,23,399,yafO
ECB_00229,26,13,13,34,12,14,21,28,54,18,23,33,453,yafP
ECB_00230,14,11,11,21,10,12,9,11,25,13,16,30,267,ykfJ
ECB_00231,56,40,40,30,13,13,16,22,45,16,25,43,501,prfH
ECB_00232,119,92,92,82,20,20,71,85,137,64,81,183,1458,pepD
ECB_00233,25,20,20,29,10,10,24,30,47,23,31,53,459,gpt
ECB_00234,99,67,67,72,28,28,50,58,128,58,69,127,1245,yafA
ECB_00235,43,28,28,27,9,10,14,15,37,8,11,35,402,crl
ECB_00236,12,9,9,17,7,7,16,19,28,18,22,35,276,insA-3
ECB_00237,61,45,45,25,14,17,10,11,29,18,27,55,504,insB-3
ECB_00238,59,40,40,67,23,23,38,45,123,47,53,107,1038,phoE
ECB_00239,90,72,72,54,22,22,46,67,106,66,78,142,1104,proB
ECB_00240,107,85,85,79,29,29,48,58,107,63,81,151,1254,proA
ECB_00241,32,17,17,24,14,18,21,27,44,22,25,41,411,yagP
ECB_00242,103,71,71,49,31,35,22,27,63,63,74,118,957,yagQ
ECB_00243,196,141,141,97,44,47,64,79,150,173,200,303,2199,yagR
ECB_00244,97,70,70,44,27,28,27,35,68,71,82,128,957,yagS
ECB_00245,57,33,33,35,23,24,28,34,65,39,47,79,690,yagT
ECB_00246,33,26,26,42,21,26,37,49,91,19,24,40,615,yagU
ECB_00247,13,8,8,23,13,16,14,16,34,20,23,37,330,ykgJ
ECB_00248,66,38,38,41,28,30,24,31,67,33,39,74,711,yagV
ECB_00249,110,81,81,85,55,57,38,49,127,95,116,219,1644,yagW
ECB_00250,190,129,129,116,68,69,77,90,201,155,198,359,2526,yagX
ECB_00251,52,33,33,28,17,17,20,23,51,48,58,99,669,yagY
ECB_00252,40,28,28,40,25,25,28,30,51,41,48,86,636,yagZ
ECB_00253,41,22,22,48,15,24,14,25,69,15,22,44,591,ykgK
ECB_00254,19,4,4,22,9,15,11,13,22,5,8,11,228,ykgL
ECB_00255,22,14,14,18,11,12,13,15,28,6,10,21,264,ykgM
ECB_00256,391,271,271,264,150,150,223,246,439,176,201,353,4257,eaeH
ECB_00257,50,21,21,60,26,33,37,48,105,29,42,71,852,ykgA
ECB_00258,38,26,26,51,26,27,24,33,73,21,24,50,594,ykgB
ECB_00259,8,6,6,30,20,21,6,9,27,10,12,15,237,ykgI
ECB_00260,84,56,56,99,53,56,54,73,172,52,70,101,1326,ykgC
ECB_00261,79,52,52,60,32,36,34,39,91,31,40,66,855,ykgD
ECB_00262,61,42,42,51,23,25,23,30,66,32,39,74,720,ykgE
ECB_00263,111,77,77,93,41,42,54,74,159,61,79,115,1428,ykgF
ECB_00264,71,41,41,40,16,17,33,41,76,25,34,57,696,ykgG
ECB_00265,10,3,3,13,9,11,11,13,26,10,11,21,213,ECB_00265
ECB_00266,35,16,16,54,33,38,29,41,82,11,17,46,669,ykgH
ECB_00267,141,101,101,71,23,25,43,62,126,112,124,224,1671,betA
ECB_00268,131,99,99,64,22,22,35,50,89,115,130,214,1473,betB
ECB_00269,59,40,40,33,14,16,13,16,45,30,40,72,588,betI
ECB_00270,226,176,176,67,32,33,46,65,156,103,127,251,2034,betT
ECB_00271,95,57,57,68,35,38,37,52,120,29,42,92,1089,yahA
ECB_00272,82,52,52,45,15,15,27,45,104,50,61,98,933,yahB
ECB_00273,38,36,36,32,16,17,17,22,47,28,29,51,498,yahC
ECB_00274,48,32,32,48,18,18,21,35,84,20,24,47,606,yahD
ECB_00275,63,45,45,60,25,27,22,36,105,36,46,72,864,yahE
ECB_00276,144,110,110,80,21,21,35,51,105,97,115,208,1548,yahF
ECB_00277,148,113,113,42,11,11,27,46,89,89,109,188,1419,yahG
ECB_00278,90,69,69,50,11,11,24,40,75,61,74,117,951,yahI
ECB_00279,145,106,106,66,19,20,33,44,93,81,93,178,1383,yahJ
ECB_00280,88,63,63,55,26,26,44,53,109,51,65,101,1050,yahK
ECB_00281,46,25,25,63,28,32,35,42,112,15,22,51,816,yahL
ECB_00282,21,13,13,27,13,15,5,7,20,7,12,19,246,yahM
ECB_00283,47,35,35,45,28,29,27,39,79,32,41,60,672,yahN
ECB_00284,20,11,11,26,6,6,9,11,31,11,14,17,276,yahO
ECB_00285,169,129,129,102,42,43,33,50,125,85,110,181,1587,prpR
ECB_00286,87,63,63,37,13,13,34,41,79,52,64,107,891,prpB
ECB_00287,103,84,84,56,11,11,33,44,82,74,90,159,1170,prpC
ECB_00288,118,90,90,69,21,22,36,49,87,108,126,217,1452,prpD
ECB_00289,211,165,165,69,22,23,42,67,144,105,127,213,1887,prpE
ECB_00290,110,96,96,49,29,29,56,73,132,76,88,150,1260,codB
ECB_00291,118,85,85,73,27,28,26,44,109,71,81,152,1284,codA
ECB_00292,95,60,60,52,23,25,26,37,87,45,59,91,900,cynR
ECB_00293,55,38,38,30,15,15,28,36,63,44,51,79,660,cynT
ECB_00294,38,23,23,25,9,9,18,30,51,27,28,54,471,cynS
ECB_00295,122,97,97,44,26,26,49,58,101,61,74,138,1155,cynX
ECB_00296,26,21,21,51,25,29,23,31,66,24,31,56,612,lacA
ECB_00297,89,77,77,64,29,30,49,72,143,52,64,148,1254,lacY
ECB_00298,258,184,184,144,58,58,92,114,255,166,193,384,3075,lacZ
ECB_00299,110,83,83,59,20,21,31,41,87,70,83,129,1083,lacI
ECB_00300,89,64,64,69,29,31,23,30,76,49,65,102,948,mhpR
ECB_00301,174,130,130,70,27,27,47,61,136,90,103,186,1665,mhpA
ECB_00302,93,61,61,36,18,20,35,44,85,55,60,113,945,mhpB
ECB_00303,78,62,62,38,12,12,29,32,78,45,60,115,882,mhpC
ECB_00304,75,60,60,46,20,20,25,35,75,42,48,84,810,mhpD
ECB_00305,77,58,58,55,23,24,36,50,86,56,67,102,951,mhpF
ECB_00306,90,66,66,46,19,19,37,46,91,52,64,120,1014,mhpE
ECB_00307,144,114,114,67,50,51,52,61,113,46,54,111,1212,mhpT
ECB_00308,50,22,22,38,8,9,17,27,55,23,26,44,540,yaiL
ECB_00309,66,46,46,44,14,14,27,35,95,33,42,75,834,frmB
ECB_00310,72,56,56,63,24,24,57,68,105,65,79,134,1110,frmA
ECB_00311,21,14,14,17,6,6,17,20,28,11,20,27,276,frmR
ECB_00312,48,39,39,40,18,18,32,38,91,46,49,86,774,yaiO
ECB_00313,60,44,44,25,14,17,10,11,29,18,27,54,504,insB-4
ECB_00314,12,9,9,16,6,6,17,20,29,18,22,35,276,insA-4
ECB_00315,103,79,79,65,25,25,29,37,60,39,54,108,963,tauA
ECB_00316,89,63,63,42,17,17,21,26,50,41,51,97,768,tauB
ECB_00317,112,94,94,37,18,18,21,36,65,39,50,86,828,tauC
ECB_00318,98,73,73,36,8,8,25,37,90,32,42,74,852,tauD
ECB_00319,76,50,50,56,23,23,45,57,86,45,55,113,975,hemB
ECB_00320,9,2,2,21,9,12,1,3,23,3,5,12,198,ECB_00320
ECB_00321,105,67,67,116,62,62,229,241,417,93,116,342,2907,yaiT
ECB_00322,29,14,14,61,23,26,33,43,87,24,33,50,669,yaiV
ECB_00323,115,77,77,42,21,21,43,55,121,72,78,119,1158,ampH
ECB_00324,109,80,80,49,26,26,42,57,113,53,72,148,1221,sbmA
ECB_00325,108,75,75,65,22,22,37,44,98,46,55,108,1095,yaiW
ECB_00326,27,21,21,20,9,9,9,13,32,17,20,34,309,yaiY
ECB_00327,15,13,13,13,4,4,9,14,23,9,10,21,213,yaiZ
ECB_00328,90,66,66,70,29,29,40,53,105,46,62,125,1095,ddl
ECB_00329,30,11,11,19,5,5,8,12,28,7,9,18,261,yaiB
ECB_00330,111,85,85,101,40,41,56,69,132,84,90,152,1416,phoA
ECB_00331,30,13,13,21,5,6,12,12,34,16,16,26,321,psiF
ECB_00332,102,78,78,57,24,27,31,43,104,61,75,115,1116,yaiC
ECB_00333,57,47,47,55,23,23,26,36,55,54,66,99,810,proC
ECB_00334,42,28,28,27,14,14,16,22,45,25,30,42,459,yaiI
ECB_00335,45,34,34,43,19,21,18,23,46,22,33,48,525,aroL
ECB_00336,15,9,9,20,8,9,6,7,16,5,6,10,192,yaiA
ECB_00337,62,43,43,50,17,17,27,38,81,19,28,53,678,aroM
ECB_00338,20,15,15,14,2,2,13,13,28,17,19,36,285,yaiE
ECB_00339,31,20,20,26,7,7,8,10,36,10,13,16,282,ykiA
ECB_00340,60,44,44,25,14,17,10,11,29,18,27,54,504,insB-5
ECB_00341,12,9,9,16,6,6,17,20,29,18,22,35,276,insA-5
ECB_00342,86,61,61,66,14,14,31,40,70,30,38,99,912,rdgC
ECB_00343,91,67,67,58,29,30,28,39,85,40,50,82,909,yajF
ECB_00344,104,85,85,71,45,46,29,47,115,61,69,123,1185,araJ
ECB_00345,342,202,202,244,59,59,92,113,239,133,154,310,3147,sbcC
ECB_00346,98,68,68,78,32,32,33,48,112,65,75,140,1203,sbcD
ECB_00347,63,45,45,46,17,19,16,23,54,37,44,67,690,phoB
ECB_00348,141,102,102,74,27,28,39,49,116,52,65,132,1296,phoR
ECB_00349,121,110,110,53,29,30,72,85,130,66,85,170,1320,brnQ
ECB_00350,124,104,104,45,22,22,51,78,117,62,85,172,1374,proY
ECB_00351,170,127,127,99,44,45,45,57,169,77,95,174,1818,malZ
ECB_00352,12,9,9,13,5,5,7,8,24,10,13,20,192,yajB
ECB_00353,97,79,79,56,17,17,30,41,93,59,68,129,1071,queA
ECB_00354,69,42,42,57,23,23,55,65,122,57,71,131,1128,tgt
ECB_00355,28,21,21,22,9,9,16,22,30,13,15,37,333,yajC
ECB_00356,167,114,114,82,32,32,104,128,173,78,110,233,1848,secD
ECB_00357,89,63,63,47,18,18,53,66,95,35,52,108,972,secF
ECB_00358,24,13,13,20,4,4,10,11,36,14,19,37,348,yajD
ECB_00359,41,28,28,31,13,13,40,45,69,27,35,113,774,tsx
ECB_00360,43,27,27,39,16,18,21,28,56,18,24,54,540,yajI
ECB_00361,39,25,25,27,7,7,15,18,39,23,29,49,450,ybaD
ECB_00362,96,70,70,72,27,27,45,56,107,56,64,107,1104,ribD
ECB_00363,31,25,25,26,8,8,34,43,53,20,26,55,471,ribH
ECB_00364,38,25,25,30,13,13,16,19,27,20,22,57,420,nusB
